Station ID,Lat/Long,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"001-0183","31.831560, -82.086470",2016,940,Actual,48,123,0.957,1.17,0.114,0.5,1060,CCS
"001-0185","31.602850, -82.308160",2016,480,Actual,48,37,2.5,0.417,0.142,0.5,580,CCS
"003-0132","31.307110, -82.901540",2016,4600,Actual,279,804,0.652,1.152,0.111,0.5,5190,CCS
"003-0138","31.295800, -82.839800",2016,4390,Actual,248,792,0.706,1.8,0.107,0.5,4980,CCS
"005-0125","31.608610, -82.461860",2016,5140,Actual,289,600,0.409,0.895,0.0961,0.5,5800,CCS
"009-0156","33.086990, -83.172170",2016,9190,Actual,341,457,0.196,0.174,0.093,0.6,10500,CCS
"011-0103","34.279330, -83.465300",2016,12700,Actual,589,350,0.642,0.258,0.101,0.6,14100,CCS
"013-0036","33.977490, -83.653300",2016,8300,Actual,308,171,0.373,0.193,0.0967,0.5,9440,CCS
"015-0118","34.204360, -84.810519",2016,44900,Estimated,1296,891,0.374,0.135,0.0902,0.5,51800,CCS
"015-0178","34.214850, -84.794150",2016,10800,Actual,560,422,0.269,0.296,0.093,0.6,11800,CCS
"015-0276","34.218710, -84.752240",2016,75200,Actual,2958,13103,0.243,0.774,0.0905,0.6,87200,CCS
"017-0143","31.728930, -83.247160",2016,3470,Actual,174,56,0.403,0.058,0.105,0.5,4010,CCS
"021-0116","32.806320, -83.840930",2016,4310,Actual,149,142,0.371,0.255,0.108,0.7,4950,CCS
"021-0132","32.815970, -83.702780",2016,20800,Actual,627,223,0.388,0.082,0.103,0.5,24400,CCS
"021-0158","32.736130, -83.655660",2016,27600,Actual,1084,846,0.437,0.264,0.102,0.5,31100,CCS
"021-0198","32.820500, -83.691700",2016,34900,Estimated,,,0,0,,,40100,CCS
"021-0258","32.693550, -83.638230",2016,23700,Actual,947,504,0.401,0.215,0.109,0.5,27100,CCS
"021-0267","32.799530, -83.664810",2016,16200,Actual,500,68,0.302,0.056,0.0987,0.5,18800,CCS
"021-0334","32.781940, -83.678070",2016,37500,Actual,1394,1961,0.388,0.351,0.11,0.7,42000,CCS
"021-0349","32.846374, -83.642365",2016,78300,Actual,1269,1499,0.235,0.206,0.0907,0.5,88500,CCS
"021-0356","32.892390, -83.677960",2016,64900,Actual,1586,3912,0.281,0.414,0.0917,0.5,97900,CCS
"021-0365","32.851669, -83.631436",2016,87300,Actual,3299,5256,0.33,0.364,0.0884,0.6,100000,CCS
"021-0372","32.827774, -83.603045",2016,48000,Actual,813,2393,0.281,0.817,0.0959,0.6,54600,CCS
"021-0376","32.773910, -83.557890",2016,25400,Actual,1053,4236,0.343,0.831,0.109,0.8,29300,CCS
"021-0378","32.799370, -83.721240",2016,60700,Actual,2254,9370,0.242,0.58,0.101,0.5,69500,CCS
"021-0541","32.826150, -83.671740",2016,19400,Actual,461,136,0.211,0.052,0.0952,0.5,21700,CCS
"021-0587","32.820130, -83.671790",2016,8620,Actual,167,12,0.174,0.012,0.1,0.5,9720,CCS
"021-0589","32.820000, -83.653100",2016,4410,Estimated,,,0,0,,,4860,CCS
"021-w334","32.779590, -83.680550",2016,11300,Actual,599,1007,0.398,0.593,0.0946,0.6,18900,CCS
"023-0152","32.413430, -83.356740",2016,2950,,,,,,0.105,1,,CCS
"025-0163","31.227640, -81.808630",2016,8460,Actual,436,711,0.697,0.426,0.101,0.6,9130,CCS
"029-0103","31.912260, -81.352940",2016,25200,Actual,898,1014,0.294,0.226,0.0927,0.6,29000,CCS
"029-0178","31.957170, -81.323790",2016,14900,Actual,513,132,0.51,0.047,0.111,0.5,23600,CCS
"029-0189","32.199470, -81.484540",2016,29100,Actual,1232,4714,0.44,0.766,0.107,0.8,39600,CCS
"031-0187","32.371400, -81.848570",2016,16000,Actual,899,1103,0.55,0.475,0.104,0.5,18100,CCS
"033-0271","33.075400, -82.016500",2016,800,Estimated,,,0,0,,,930,CCS
"035-0127","33.225930, -84.075450",2016,76200,Actual,2705,13954,0.208,0.662,0.102,0.5,89600,CCS
"039-0145","30.784980, -81.639930",2016,23400,Actual,741,154,0.308,0.026,0.0955,0.6,28100,CCS
"039-0218","30.752570, -81.650760",2016,66200,Actual,2424,8790,0.231,0.27,0.112,0.5,73900,CCS
"039-0228","31.064340, -81.630650",2016,52700,Actual,1768,8131,0.237,0.829,0.122,0.6,59000,CCS
"039-w218","30.752600, -81.650900",2016,,,,,,,,,,CCS
"043-0163","32.372690, -82.031000",2016,22800,Actual,864,4692,0.202,0.294,0.121,0.5,30000,CCS
"047-0114","34.985110, -85.200870",2016,97300,Actual,3378,13312,0.539,1.09,0.0893,0.6,115000,CCS
"051-0107","32.113060, -81.138420",2016,840,Actual,97,183,1.19,1.429,0.177,0.9,920,CCS
"051-0109","32.223840, -81.194920",2016,33400,Actual,1291,1441,0.243,0.198,0.091,0.6,46700,CCS
"051-0126","32.098200, -81.143500",2016,6220,Estimated,,,0,0,,,7230,CCS
"051-0129","32.094410, -81.135090",2016,36500,Actual,1167,1473,0.227,0.214,0.109,0.5,41500,CCS
"051-0132","32.080960, -81.131690",2016,34500,Actual,1032,1713,0.193,0.226,0.11,0.5,40300,CCS
"051-0137","32.061660, -81.138490",2016,53400,Actual,1612,694,0.309,0.107,0.0975,0.5,65200,CCS
"051-0138","32.033240, -81.127630",2016,56600,Actual,1728,446,0.293,0.046,0.0945,0.6,66900,CCS
"051-0318","32.008400, -81.291000",2016,6830,Actual,404,175,0.6,0.322,0.0967,0.7,7760,CCS
"051-0334","32.020970, -81.110860",2016,31400,Actual,666,123,0.787,0.041,0.101,0.6,39600,CCS
"051-0365","32.079810, -81.268900",2016,45400,Actual,1686,4142,0.313,0.507,0.0985,0.6,59300,CCS
"051-0368","32.068990, -81.192810",2016,61700,Estimated,2097,2965,0.33,0.641,0.104,0.7,77900,CCS
"051-0369","32.072770, -81.151870",2016,64300,Actual,2525,2259,0.365,0.264,0.0948,0.6,76900,CCS
"051-0376","32.071880, -81.104060",2016,22000,Actual,651,247,0.195,0.045,0.094,0.5,25600,CCS
"051-0383","32.096300, -81.236880",2016,84500,Actual,2690,9194,0.349,0.738,0.0943,0.6,112000,CCS
"051-0387","32.200200, -81.187690",2016,56100,Actual,1514,5960,0,0,0.11,0.5,63900,CCS
"051-0443","32.058600, -81.022470",2016,21400,Actual,625,105,0.159,0.023,0.117,0.7,25100,CCS
"051-0509","32.015660, -81.110110",2016,8540,Actual,165,9,0.234,0,0.128,0.5,10200,CCS
"051-0649","32.081810, -81.122150",2016,3330,Actual,266,305,1.111,0.961,0.126,0.5,4180,CCS
"051-0700","32.143800, -81.170800",2016,,,,,,,,,,CCS
"051-0825","32.012415, -81.076760",2016,1750,Estimated,,,0,0,,,2100,CCS
"051-9215","32.062700, -81.111030",2016,8970,,,,,,0.126,,,CCS
"051-9216","32.070650, -81.106480",2016,,,,,,,,,,CCS
"051-9816","32.062590, -81.111210",2016,13400,,,,,,0.1,,,CCS
"051-9818","32.069140, -81.107900",2016,,,,,,,,,,CCS
"057-0341","34.090250, -84.442870",2016,3870,Actual,121,20,0.181,0.052,0.126,0.7,5690,CCS
"059-0014","33.969430, -83.420220",2016,39100,Actual,1280,1315,0.213,0.192,0.0981,0.5,48300,CCS
"059-0087","33.981010, -83.377610",2016,19100,Actual,335,456,0.088,0.104,0.0958,0.5,21500,CCS
"059-0118","33.962160, -83.394530",2016,23200,Actual,237,227,0,0,0.0917,0.5,28800,CCS
"059-0367","33.942010, -83.408520",2016,11600,Actual,205,12,0.181,0.017,0.104,0.6,13300,CCS
"059-0441","33.970100, -83.392300",2016,,,,,,,,,,CCS
"059-0611","33.971550, -83.315540",2016,5460,Actual,145,58,0.22,0.128,0.117,0.7,6230,CCS
"059-0613","33.998180, -83.408730",2016,3820,Actual,95,6,0.236,0,0.104,0.5,4060,CCS
"061-0109","31.579660, -84.849980",2016,2100,Actual,166,321,0.381,0.571,0.152,0.6,3460,CCS
"063-0005","33.462060, -84.332240",2016,43600,Estimated,,,0,0,,,50100,CCS
"063-0096","33.528040, -84.420820",2016,36300,Actual,1137,246,0.251,0.039,0.0839,0.6,40800,CCS
"063-0383","33.488280, -84.397790",2016,6570,Actual,0,0,0,0,0.0958,0.5,7310,CCS
"063-1023","33.567800, -84.371930",2016,69000,Actual,1491,562,0,0,0.0727,0.6,78100,CCS
"063-1032","33.592950, -84.376600",2016,18900,Actual,716,387,0.285,0.185,0.093,0.6,21200,CCS
"063-1085","33.601480, -84.339780",2016,23100,Actual,1511,243,0.472,0.078,0.0889,0.6,25200,CCS
"063-1172","33.620850, -84.366680",2016,19000,Actual,981,273,0.463,0.079,0.0992,0.6,20600,CCS
"063-1192","33.598210, -84.389270",2016,191000,Actual,5083,11221,0.224,0.349,0.0694,0.6,217000,CCS
"063-1194","33.627080, -84.400050",2016,218000,Estimated,7533,12364,0.383,0.544,0.077,0.5,247000,CCS
"063-1201","33.640210, -84.376290",2016,148000,Actual,2228,4789,0,0,0.0788,0.6,163000,CCS
"063-1207","33.618250, -84.433560",2016,165000,,,,,,0.0813,0.5,,CCS
"065-0118","31.060397, -82.683632",2016,4640,Actual,35824,50652,0.237,0.797,0.109,0.5,5250,CCS
"065-0125","30.678960, -82.558000",2016,1340,Actual,108,178,1.791,0.597,0.126,0.6,1490,CCS
"067-0774","34.002680, -84.561120",2016,75300,Actual,2591,1447,0.433,0.309,0.0793,0.5,88500,CCS
"067-0781","34.068311, -84.540108",2016,88200,Actual,3082,1617,0.235,0.082,0.0779,0.6,104000,CCS
"067-2141","33.913800, -84.497650",2016,33000,Actual,915,576,0.256,0.086,0.102,0.6,36400,CCS
"067-2334","33.872900, -84.714270",2016,3870,Actual,103,9,0.217,0.027,0.117,0.7,4260,CCS
"067-2373","33.855015, -84.483185",2016,168000,Estimated,5881,17925,0.552,1.276,0.0811,0.6,194000,CCS
"067-2429","33.941110, -84.526900",2016,27500,,,,,,0.0786,0.6,,CCS
"067-2607","33.851040, -84.509050",2016,31900,Actual,918,237,0.185,0.05,0.104,0.6,37600,CCS
"067-2623","33.925830, -84.518650",2016,30700,Actual,1273,238,0.349,0.059,0.0948,0.7,33900,CCS
"067-2738","33.912374, -84.479109",2016,308000,Actual,10684,22603,0,0,0.0738,0.5,343000,CCS
"067-2749","33.991502, -84.551921",2016,215000,Actual,8540,14799,0,0,0.0716,0.5,253000,CCS
"067-9006","33.898720, -84.469600",2016,,,,,,,,,,CCS
"067-9109","33.886430, -84.466400",2016,,,,,,,,,,CCS
"067-r114","33.889961, -84.462329",2016,,,,,,,,,,CCS
"067-9605","33.896550, -84.467800",2016,,,,,,,,,,CCS
"067-9714","33.893510, -84.455300",2016,,,,,,,,,,CCS
"067-9921","33.888490, -84.462730",2016,,,,,,,,,,CCS
"067-9922","33.889860, -84.460140",2016,,,,,,,,,,CCS
"067-9942","33.891110, -84.462890",2016,,,,,,,,,,CCS
"081-0347","31.923560, -83.787060",2016,8170,Actual,387,1273,0.171,0.575,0.0992,0.5,9370,CCS
"081-w347","31.923357, -83.787066",2016,5750,Actual,291,1097,0.852,1.113,0.11,0.5,6325,CCS
"083-0194","34.822330, -85.539620",2016,14900,Actual,805,3964,0.57,0.523,0.108,0.6,16700,CCS
"083-0209","34.977550, -85.456550",2016,50500,Actual,1902,11047,0.248,0.848,0.0872,0.5,71100,CCS
"083-0214","34.982890, -85.409840",2016,68200,Actual,2470,13459,0.286,1.073,0.0837,0.5,79900,CCS
"087-0103","30.733870, -84.451880",2016,5480,,423,930,,,0.0782,0.6,,CCS
"087-0125","30.914780, -84.598000",2016,11500,Actual,739,1214,0.27,0.748,0.0956,0.5,11600,CCS
"089-0314","33.703030, -84.146230",2016,144000,Actual,5834,8307,0.146,0.133,0.0713,0.5,162000,CCS
"089-0644","33.885820, -84.296530",2016,20200,Actual,622,119,0.149,0.025,0.108,0.6,26700,CCS
"089-0927","33.657660, -84.325190",2016,82000,Actual,2917,7521,0.344,0.622,0.0936,0.6,92600,CCS
"089-3047","33.791975, -84.228789",2016,37000,Estimated,,,0,0,,,41000,CCS
"089-3058","33.822660, -84.158650",2016,104000,,,,,,0.0783,0.7,,CCS
"089-3065","33.764500, -84.251100",2016,17600,Estimated,,,0,0,,,20100,CCS
"089-3236","33.816470, -84.305960",2016,26600,Estimated,449,40,0.093,0.004,0.101,0.6,31600,CCS
"089-3307","33.715700, -84.251110",2016,129000,Estimated,,,0,0,,,147000,CCS
"089-3323","33.827640, -84.344270",2016,235000,Actual,5575,1982,0.206,0.055,0.0784,0.6,268000,CCS
"089-3332","33.883790, -84.268570",2016,223000,Actual,6782,2406,0.245,0.074,0.0736,0.6,263000,CCS
"089-3341","33.679300, -84.316200",2016,144000,Estimated,,,0,0,,,169000,CCS
"089-3354","33.789670, -84.246710",2016,199000,Actual,6495,13310,0.296,0.438,0.0714,0.5,223000,CCS
"089-3363","33.876500, -84.249430",2016,203000,Actual,5492,12575,0.191,0.385,0.0937,0.6,227000,CCS
"089-3374","33.920310, -84.304100",2016,196000,Estimated,6252,11352,0.197,0.19,0.0841,0.5,234000,CCS
"089-3376","33.920109, -84.324952",2016,,,,,,,,,,CCS
"089-3383","33.811040, -84.260990",2016,74500,,,,,,0.0873,0.7,,CCS
"089-3385","33.820330, -84.242450",2016,117000,Actual,2347,1201,0.185,0.064,0.0738,0.6,132000,CCS
"089-3438","33.905430, -84.310390",2016,12100,Actual,368,29,0.306,0.008,0.107,0.6,14000,CCS
"089-3572","33.957380, -84.286820",2016,6530,Actual,145,21,0.184,0.046,0.135,0.6,9220,CCS
"089-3638","33.886830, -84.224880",2016,25900,Actual,807,174,0.324,0.023,0.0988,0.7,29500,CCS
"089-9012","33.891150, -84.256800",2016,25600,,,,,,0.0766,,,CCS
"089-9014","33.893890, -84.254900",2016,67900,,,,,,0.0884,0.5,,CCS
"089-9105","33.913240, -84.287300",2016,3130,,,,,,0.0934,0,,CCS
"089-9118","33.885860, -84.252330",2016,,,,,,,,,,CCS
"089-9171","33.672860, -84.332500",2016,15400,,,,,,0.182,,,CCS
"089-9172","33.675620, -84.326500",2016,23500,,,,,,0.0871,0,,CCS
"089-9305","33.818390, -84.247700",2016,38800,,,,,,0.0913,0.5,,CCS
"089-9611","33.893690, -84.259500",2016,40600,,,,,,0.0837,0.5,,CCS
"089-9707","33.914120, -84.286900",2016,4050,,,,,,0.123,0,,CCS
"089-9717","33.886790, -84.252100",2016,45500,,,,,,0.0679,0.5,,CCS
"089-9907","33.813170, -84.255900",2016,9710,,,,,,0.101,0,,CCS
"095-0032","31.575333, -84.172520",2016,14900,Estimated,409,199,0.215,0.064,0.0885,0.6,16800,CCS
"095-0189","31.585770, -84.212290",2016,16700,Actual,561,99,0.419,0.09,0.105,0.6,19000,CCS
"095-0672","31.575150, -84.196010",2016,1540,Actual,33,6,0.519,0.13,0.1,0.5,1820,CCS
"095-0676","31.549380, -84.162910",2016,2590,,,,,,0.0847,0.5,,CCS
"097-0107","33.721490, -84.878670",2016,77600,Actual,3304,10730,0.327,0.763,0.0867,0.6,85800,CCS
"097-4047","33.790160, -84.625500",2016,,,,,,,,,,CCS
"107-0092","32.588600, -82.175950",2016,3750,Actual,130,122,0.347,0.16,0.118,0.5,4360,CCS
"111-0169","34.900320, -84.394280",2016,1470,Actual,60,3,0.068,0,0.11,0.5,1670,CCS
"111-0269","34.892370, -84.275570",2016,21200,Actual,948,361,0.325,0.16,0.103,0.6,23400,CCS
"113-0247","33.413200, -84.443300",2016,,,,,,,,,,CCS
"113-0316","33.397440, -84.551650",2016,6100,Actual,94,19,0.152,0.017,0.109,0.5,6880,CCS
"115-0018","34.207800, -85.191300",2016,,,,,,,,,,CCS
"115-0025","34.232570, -85.162340",2016,30200,Actual,1154,559,0.205,0.076,0.0868,0.5,35300,CCS
"115-0081","34.207320, -85.061120",2016,15800,Actual,697,907,0.481,0.335,0.095,0.5,18400,CCS
"115-0341","34.248496, -85.178306",2016,8420,Estimated,339,43,0.465,0.061,0.108,0.5,9320,CCS
"117-0059","34.331190, -84.122500",2016,6300,Actual,317,47,0.651,0.063,0.12,0.6,8280,CCS
"117-0080","34.108100, -84.236300",2016,,,,,,,,,,CCS
"119-0292","34.366280, -83.285050",2016,45000,Actual,1798,10889,0.256,0.902,0.108,0.5,49700,CCS
"121-0124","33.957733, -84.364885",2016,30600,Estimated,,,0,0,,,34900,CCS
"121-0178","33.548510, -84.606040",2016,10300,Actual,431,286,0,0,0.0979,0.6,11700,CCS
"121-0190","33.586970, -84.548600",2016,17700,Actual,648,217,0.599,0.102,0.119,0.6,19200,CCS
"121-0456","33.877190, -84.364430",2016,166000,,0,0,,,0,0,,CCS
"121-0458","34.050800, -84.297100",2016,155000,Actual,3933,1782,0.154,0.077,0.0843,0.5,218000,CCS
"121-0516","33.594500, -84.497430",2016,158000,Actual,6227,11786,0.286,0.439,0.0796,0.6,183000,CCS
"121-0795","34.062310, -84.408060",2016,55800,Estimated,1238,229,0,0,0.097,0.7,69200,CCS
"121-0863","34.025130, -84.295910",2016,16500,Actual,343,33,0.139,0.006,0.0996,0.5,19300,CCS
"121-0989","33.828730, -84.420263",2016,6630,Actual,123,19,0.2,0.018,0.101,0.6,8630,CCS
"121-5016","33.783700, -84.407500",2016,28400,Estimated,,,0,0,,,31900,CCS
"121-5108","33.811370, -84.392130",2016,44100,Actual,77,8,0,0,0.0832,0.5,50700,CCS
"121-5110","33.825870, -84.387290",2016,36700,Actual,257,21,0.099,0.011,0.0895,0.5,43400,CCS
"121-5114","33.865290, -84.380770",2016,28600,Actual,227,83,0.241,0.073,0.0972,0.5,35300,CCS
"121-5225","33.706880, -84.349450",2016,26800,Actual,935,445,0.313,0.06,0.0984,0.8,30300,CCS
"121-5374","33.728030, -84.519680",2016,11200,Actual,306,25,0.312,0.036,0.1,0.7,12100,CCS
"121-5419","33.697470, -84.422710",2016,57100,,,,,,0.0847,0.6,,CCS
"121-5450","33.904832, -84.358267",2016,136000,Actual,2166,406,0.08,0.011,0.0857,0.5,170000,CCS
"121-5452","33.928530, -84.357710",2016,209000,Actual,4408,2062,0.21,0.052,0.0831,0.5,228000,CCS
"121-5463","33.676330, -84.397410",2016,169000,Actual,1921,1168,0.262,0.159,0.0726,0.6,194000,CCS
"121-5468","33.708810, -84.402270",2016,297000,Actual,,,0,0,0.0682,0.6,349000,CCS
"121-5474","33.758730, -84.378430",2016,308000,Actual,8764,4259,0,0,0.0658,0.5,360000,CCS
"121-5486","33.802700, -84.406390",2016,221000,Actual,6773,2823,0.22,0.076,0.0761,0.6,280000,CCS
"121-5498","33.758790, -84.477000",2016,149000,Calculated,0,0,0,0,0,0,160000,CCS
"121-5505","33.742910, -84.402560",2016,168000,Actual,5304,2702,0,0,0.0832,0.5,190000,CCS
"121-5508","33.743140, -84.378690",2016,202000,Actual,5648,2293,0.279,0.098,0.0779,0.5,226000,CCS
"121-5524","33.672380, -84.414340",2016,139000,Actual,1489,574,0.252,0.061,0.0718,0.6,159000,CCS
"121-5534","33.633820, -84.490330",2016,124000,Actual,4141,15321,0.229,0.634,0.0949,0.5,156000,CCS
"121-5542","33.774666, -84.496051",2016,156000,Estimated,5947,17718,0.705,1.251,0.0878,0.5,187000,CCS
"121-5546","33.904000, -84.436280",2016,242000,,0,0,,,0,0,,CCS
"121-5551","33.910530, -84.368410",2016,227000,,,,,,,,,CCS
"121-5555","33.661410, -84.355380",2016,142000,Actual,6438,14871,0.415,0.606,0.0803,0.6,158000,CCS
"121-5633","33.786200, -84.404430",2016,15100,Actual,67,6,0,0,0.0825,0.7,26900,CCS
"121-5969","33.807090, -84.379740",2016,246000,Actual,5574,2284,0,0,0.121,0.7,282000,CCS
"121-6370","33.874300, -84.446140",2016,190000,Actual,5190,2447,0.204,0.054,0.0802,0.5,217000,CCS
"121-R066","33.825811, -84.359331",2016,,,,,,,,,,CCS
"121-9072","33.898590, -84.361600",2016,,,,,,,,,,CCS
"121-9178","33.796480, -84.394220",2016,27400,,,,,,0.0971,1,,CCS
"121-9412","33.686590, -84.400800",2016,48600,,,,,,0.0682,0,,CCS
"121-9420","33.797620, -84.394100",2016,23800,,,,,,,,,CCS
"121-9438","33.763580, -84.491600",2016,,,,,,,,,,CCS
"121-9511","33.685800, -84.402770",2016,69900,,,,,,0.0759,0,,CCS
"121-9645","33.796830, -84.395160",2016,35500,,,,,,,,,CCS
"121-R666","33.825987, -84.360666",2016,,,,,,,,,,CCS
"121-9804","33.766420, -84.498400",2016,,,,,,,,,,CCS
"121-9912","33.795040, -84.392000",2016,,,,,,,,,,CCS
"121-9999","33.823270, -84.359050",2016,,,,,,,,,,CCS
"123-0121","34.688640, -84.490570",2016,10100,Actual,412,46,0.526,0.05,0.112,0.6,11600,CCS
"127-0105","31.140520, -81.582370",2016,15000,Actual,613,530,0.326,0.185,0.099,0.7,16800,CCS
"127-0107","31.131980, -81.561850",2016,14000,Actual,513,717,0.221,0.193,0.108,0.6,15800,CCS
"127-0236","31.243690, -81.544830",2016,19600,Actual,860,939,0.628,0.286,0.106,0.7,22700,CCS
"127-0289","31.208430, -81.375830",2016,8350,Actual,206,28,0.299,0.072,0.132,0.6,9530,CCS
"127-0312","31.234380, -81.509300",2016,55400,Actual,378,1349,0,0,0.114,0.5,65300,CCS
"127-0456","31.150270, -81.490610",2016,7920,Actual,213,24,0.429,0.025,0.139,0.5,9310,CCS
"129-0103","34.503100, -84.919400",2016,71500,Estimated,,,0,0,,,85400,CCS
"135-0229","33.967900, -84.222200",2016,44700,Estimated,,,0,0,,,50900,CCS
"135-0241","33.962700, -84.079700",2016,98600,Estimated,2808,3648,0.189,0.183,0.0815,0.6,168000,CCS
"135-0267","34.066460, -84.010540",2016,67800,Actual,2700,3382,0.369,0.239,0.084,0.6,83700,CCS
"135-0298","33.971300, -84.091820",2016,158000,Actual,5995,13608,0.183,0.348,0.0741,0.6,172000,CCS
"135-0305","34.036995, -84.039136",2016,166000,Actual,4991,13825,0.214,0.404,0.0767,0.6,185000,CCS
"135-0307","34.047483, -84.024768",2016,99600,Actual,3000,10864,0.233,0.604,0.0759,0.6,110000,CCS
"135-0563","33.844710, -84.014250",2016,16900,Actual,451,61,0.166,0.025,0.0944,0.6,18900,CCS
"135-6287","33.922300, -84.188060",2016,289000,Actual,5833,10515,0.174,0.272,0.068,0.5,357000,CCS
"135-9200","33.964100, -84.095640",2016,2250,,,,,,0.15,1,,CCS
"135-9427","33.964100, -84.095640",2016,32500,,,,,,0.0798,0,,CCS
"135-9528","33.964720, -84.098200",2016,32700,,,,,,0.0719,0,,CCS
"137-0152","34.667170, -83.433250",2016,1240,Actual,53,7,0.645,0,0.119,0.6,1380,CCS
"139-0183","34.256360, -83.846200",2016,16200,Actual,633,297,0.302,0.105,0.0922,0.6,17400,CCS
"139-0418","34.311570, -83.787710",2016,34700,Actual,0,0,0,0,0,0,40400,CCS
"139-0514","34.384460, -83.904200",2016,2630,Actual,94,7,0.646,0,0.141,0.6,3010,CCS
"139-0532","34.320400, -83.793600",2016,4820,Estimated,,,0,0,,,5080,CCS
"139-0587","34.276890, -83.834390",2016,6230,Actual,229,65,0.658,0.08,0.113,0.5,6560,CCS
"143-0126","33.680770, -85.302210",2016,36400,Actual,1487,10046,0.33,1.486,0.102,0.6,39000,CCS
"145-0234","32.866480, -85.166270",2016,38900,Actual,1333,5806,0.311,0.907,0.0986,0.6,57200,CCS
"147-0287","34.476810, -83.050710",2016,47000,Actual,1758,11283,0.205,0.853,0.108,0.5,52400,CCS
"151-0412","33.526600, -84.254100",2016,159000,Estimated,,,0,0,,,182000,CCS
"151-0446","33.548530, -84.267980",2016,51500,Estimated,1989,5859,0.407,0.887,0.085,0.6,65600,CCS
"153-0109","32.554418, -83.647584",2016,18100,Estimated,381,175,0,0,0.0898,0.5,22100,CCS
"153-0143","32.615270, -83.701170",2016,27200,Actual,747,314,0.184,0.062,0.0913,0.5,31300,CCS
"153-0189","32.648350, -83.608680",2016,14400,Actual,742,448,0.625,0.299,0.119,0.7,16900,CCS
"153-0198","32.382140, -83.768130",2016,50200,Actual,1915,10776,0.345,1.127,0.115,0.6,54900,CCS
"153-0332","32.624640, -83.641700",2016,18400,Actual,194,49,0.046,0.04,0.0901,0.5,20700,CCS
"153-0361","32.629100, -83.608100",2016,,,,,,,,,,CCS
"153-0365","32.638530, -83.615130",2016,2140,Actual,33,3,0.421,0,0.0986,0.5,2570,CCS
"157-0232","34.067100, -83.479700",2016,,,,,,,,,,CCS
"157-0300","34.112150, -83.776890",2016,59600,Actual,2172,10283,0,0,0.101,0.5,70300,CCS
"161-0189","31.887900, -82.604140",2016,7660,Actual,303,852,0.405,0.822,0.11,0.5,8670,CCS
"165-0107","32.803750, -81.952990",2016,3240,Actual,159,256,0.71,0.772,0.0978,0.5,3530,CCS
"171-0127","33.082600, -84.171600",2016,,,,,,,,,,CCS
"175-0038","32.541510, -83.063860",2016,6150,Actual,326,168,0.862,0.163,0.128,0.6,8670,CCS
"175-0216","32.386050, -83.045710",2016,720,Actual,30,25,0.417,0.694,0.119,0.8,810,CCS
"175-0247","32.513770, -83.069250",2016,24100,Actual,1064,5027,0.473,1.523,0.137,0.8,29000,CCS
"175-0254","32.484820, -82.913390",2016,24700,Actual,964,4829,0.486,0.498,0.156,0.5,30900,CCS
"175-0256","32.453960, -82.756180",2016,22000,Actual,572,4315,0.086,0.445,0.152,0.6,27100,CCS
"175-0269","32.322960, -82.923760",2016,280,Actual,21,7,1.429,0,0.137,0.6,310,CCS
"177-0005","31.725720, -84.172220",2016,10100,Actual,585,185,0.861,0.139,0.153,0.6,11900,CCS
"177-0041","31.675240, -84.293910",2016,14400,Actual,724,1608,0.55,0.905,0.1,0.6,16100,CCS
"179-0018","31.854330, -81.403610",2016,5820,Actual,181,198,0.55,0.241,0.0993,0.6,6500,CCS
"179-0072","31.783580, -81.387380",2016,7390,Actual,333,329,0.622,0.392,0.111,0.5,8720,CCS
"185-0197","30.890000, -83.275900",2016,,,,,,,,,,CCS
"185-0227","30.626970, -83.172800",2016,42500,Actual,949,5655,0.282,0.612,0.141,0.6,46200,CCS
"185-0235","30.830250, -83.323130",2016,49900,Actual,1889,9655,0.253,0.796,0.126,0.5,54900,CCS
"185-0395","30.861000, -83.292400",2016,7360,Estimated,132,4,0.417,0.014,0.115,0.6,8680,CCS
"185-w227","30.631060, -83.178140",2016,13200,Actual,788,7238,0.5,3.371,0.0878,0.6,15100,CCS
"187-0009","34.527660, -83.993580",2016,12800,Actual,292,64,0.219,0.023,0.101,0.5,14900,CCS
"187-0067","34.465530, -83.969280",2016,19700,Actual,715,269,0.284,0.03,0.101,0.5,22200,CCS
"191-0129","31.403280, -81.454620",2016,2660,Actual,167,186,0.94,0.301,0.104,0.6,3130,CCS
"191-0174","31.536600, -81.454180",2016,2610,Actual,147,193,0.542,0.709,0.111,0.6,2800,CCS
"191-0187","31.580490, -81.430890",2016,51500,Actual,1590,8790,0.264,0.633,0.131,0.5,63200,CCS
"193-0132","32.253400, -84.085700",2016,,,,,,,,,,CCS
"195-0189","34.173393, -83.179622",2016,,,,,,,,,,CCS
"199-0312","33.190940, -84.850150",2016,51300,Actual,1570,6603,0.361,0.784,0.103,0.5,67000,CCS
"205-0243","31.117990, -84.137720",2016,6000,Actual,363,581,0.667,0.55,0.0979,0.5,6780,CCS
"207-0222","32.940163, -83.764530",2016,41500,Actual,1087,3535,0.085,0.321,0.258,0.5,59800,CCS
"207-9408","32.951620, -83.812300",2016,32500,,,,,,0.0552,0,,CCS
"207-9507","32.956470, -83.812700",2016,,,,,,,,,,CCS
